video_id,headline,thumbnail,view_count,published_time,length
z2nH5ymweq0,NO WAY IT WORKED 😭 #Shorts,https://i.ytimg.com/vi/z2nH5ymweq0/frame0.jpg,473K views,z2nH5ymweq0,
yvzkyy0eiy4,How long did you last? 🤣 #Shorts,https://i.ytimg.com/vi/yvzkyy0eiy4/frame0.jpg,1.5M views,yvzkyy0eiy4,
5VYq3Q6iwNU,Always SO dramatic 😂 #Shorts,https://i.ytimg.com/vi/5VYq3Q6iwNU/frame0.jpg,2.2M views,5VYq3Q6iwNU,
MFGiI_bR6RE,wait for it 😂 #Shorts,https://i.ytimg.com/vi/MFGiI_bR6RE/frame0.jpg,7.1M views,MFGiI_bR6RE,
QLHmkw8S9-U,Dad rating my uncle’s accent 😂 #Shorts,https://i.ytimg.com/vi/QLHmkw8S9-U/frame0.jpg,8.4M views,QLHmkw8S9-U,
QI7yd97Fe5o,NO WAY 😂 #Shorts,https://i.ytimg.com/vi/QI7yd97Fe5o/frame0.jpg,4.4M views,QI7yd97Fe5o,
xDgUCBHqki8,They got us good 🙄 #HayDayPartner,https://i.ytimg.com/vi/xDgUCBHqki8/frame0.jpg,1.2M views,xDgUCBHqki8,
2r43trL5xdk,NO WAY 😭 #Shorts,https://i.ytimg.com/vi/2r43trL5xdk/frame0.jpg,2.7M views,2r43trL5xdk,
jY8V2wHmKLw,uh oh… 🙄 head over to my ig for more! #Shorts,https://i.ytimg.com/vi/jY8V2wHmKLw/frame0.jpg,6.4M views,jY8V2wHmKLw,
VBJhbPXJsJM,NO WAY😂 #Shorts,https://i.ytimg.com/vi/VBJhbPXJsJM/frame0.jpg,5.4M views,VBJhbPXJsJM,
W_ZarR8T8uA,HE’S BACK! #Shorts,https://i.ytimg.com/vi/W_ZarR8T8uA/frame0.jpg,2.2M views,W_ZarR8T8uA,
UH6Zj-4WuRk,The night routine.  #Shorts,https://i.ytimg.com/vi/UH6Zj-4WuRk/frame0.jpg,2.3M views,UH6Zj-4WuRk,
A0-b-pP-tnY,DADDY……? @jepitot_03  #Shorts,https://i.ytimg.com/vi/A0-b-pP-tnY/frame0.jpg,983K views,A0-b-pP-tnY,
P5K9AguvOdY,Oh my… #Shorts,https://i.ytimg.com/vi/P5K9AguvOdY/frame0.jpg,6.6M views,P5K9AguvOdY,
PvfdI2-HSZs,NO WAY 😭 head over to my ig for more! #Shorts,https://i.ytimg.com/vi/PvfdI2-HSZs/frame0.jpg,3M views,PvfdI2-HSZs,
5LWHOgtb1NE,wait for it 😂 #Shorts,https://i.ytimg.com/vi/5LWHOgtb1NE/frame0.jpg,3.3M views,5LWHOgtb1NE,
yXwLU2JkTJ4,wait for it 😂 #Shorts,https://i.ytimg.com/vi/yXwLU2JkTJ4/frame0.jpg,15M views,yXwLU2JkTJ4,
awHUqMB-3YA,this took SO long😭 #Shorts,https://i.ytimg.com/vi/awHUqMB-3YA/frame0.jpg,14M views,awHUqMB-3YA,
83MRAXGer2Q,this took us SO long to film 😭 #Shorts,https://i.ytimg.com/vi/83MRAXGer2Q/frame0.jpg,1.4M views,83MRAXGer2Q,
8YJiVHfEbEY,this took SO long 😭#Shorts,https://i.ytimg.com/vi/8YJiVHfEbEY/frame0.jpg,6.3M views,8YJiVHfEbEY,
p4T-cl248bk,Thank you for understanding ❤️ #Shorts,https://i.ytimg.com/vi/p4T-cl248bk/frame0.jpg,18M views,p4T-cl248bk,
eYD_iRQvpnw,NO WAY 😭 #Shorts,https://i.ytimg.com/vi/eYD_iRQvpnw/frame0.jpg,13M views,eYD_iRQvpnw,
bJe9B9kng0w,wait for it 😂 #Shorts,https://i.ytimg.com/vi/bJe9B9kng0w/frame0.jpg,3.3M views,bJe9B9kng0w,
olfWHl_yeZI,WHAT. WAS. THAT. 😭 #Shorts,https://i.ytimg.com/vi/olfWHl_yeZI/frame0.jpg,5.3M views,olfWHl_yeZI,
6ZQk8lf54wM,Mom is the real MVP #Shorts,https://i.ytimg.com/vi/6ZQk8lf54wM/frame0.jpg,2.6M views,6ZQk8lf54wM,
_hhLwvOrM7w,The end? BTS on lG 😂 #Shorts,https://i.ytimg.com/vi/_hhLwvOrM7w/frame0.jpg,8.2M views,_hhLwvOrM7w,
tVR8d2navTg,this took us SO long 😭 #Shorts,https://i.ytimg.com/vi/tVR8d2navTg/frame0.jpg,5M views,tVR8d2navTg,
5lzenv1rUHQ,head over to my ig for more! #Shorts,https://i.ytimg.com/vi/5lzenv1rUHQ/frame0.jpg,5.8M views,5lzenv1rUHQ,
sV5jkCw151c,Can you tell why? 😂 #Shorts,https://i.ytimg.com/vi/sV5jkCw151c/frame0.jpg,4.1M views,sV5jkCw151c,
62WRQLvlIa4,wait for it 😂 #Shorts,https://i.ytimg.com/vi/62WRQLvlIa4/frame0.jpg,2.2M views,62WRQLvlIa4,
3krenueNLSk,How long did you last? 🤣 #Shorts,https://i.ytimg.com/vi/3krenueNLSk/frame0.jpg,10M views,3krenueNLSk,
irDZMXjj6rY,This took SO long 🤣😭 #Shorts,https://i.ytimg.com/vi/irDZMXjj6rY/frame0.jpg,10M views,irDZMXjj6rY,
4462pvcndFM,The end? #Shorts,https://i.ytimg.com/vi/4462pvcndFM/frame0.jpg,16M views,4462pvcndFM,
NORKbgZC2Qw,I think we all could've guessed this 😅 #Shorts,https://i.ytimg.com/vi/NORKbgZC2Qw/frame0.jpg,3.7M views,NORKbgZC2Qw,
hEfABxT-cT4,Whoops. #Shorts,https://i.ytimg.com/vi/hEfABxT-cT4/frame0.jpg,3M views,hEfABxT-cT4,
ZOZy94_uQM0,It’s an easy decision.  #Shorts,https://i.ytimg.com/vi/ZOZy94_uQM0/frame0.jpg,5.6M views,ZOZy94_uQM0,
efM_DSqOePI,wait for it 😂 #Shorts,https://i.ytimg.com/vi/efM_DSqOePI/frame0.jpg,5.7M views,efM_DSqOePI,
s-UOSVTD7Qk,Every. Single. Time. 😭 #Shorts,https://i.ytimg.com/vi/s-UOSVTD7Qk/frame0.jpg,16M views,s-UOSVTD7Qk,
0L8yJC63oaQ,the tables have turned @jepitot_03 #Shorts,https://i.ytimg.com/vi/0L8yJC63oaQ/frame0.jpg,2.9M views,0L8yJC63oaQ,
RWwjUcOxZ8E,Dad rating my girlfriend’s accent 😂 #Shorts,https://i.ytimg.com/vi/RWwjUcOxZ8E/frame0.jpg,3.9M views,RWwjUcOxZ8E,
uP0PK1K8UV4,Long enough? 😭 head over to my ig for more! #Shorts,https://i.ytimg.com/vi/uP0PK1K8UV4/frame0.jpg,9.7M views,uP0PK1K8UV4,
ueDKpNlwBS0,wait for it 😂 #Shorts,https://i.ytimg.com/vi/ueDKpNlwBS0/frame0.jpg,51M views,ueDKpNlwBS0,
f0NVMTazGrI,They don’t ever go as planned 🤣 head over to my ig for more! #Shorts,https://i.ytimg.com/vi/f0NVMTazGrI/frame0.jpg,3.9M views,f0NVMTazGrI,
UBH1ebG4iy4,"Yo Chase, go long!  #Shorts",https://i.ytimg.com/vi/UBH1ebG4iy4/frame0.jpg,8M views,UBH1ebG4iy4,
9eEGYD8XB4A,how’s this? #Shorts,https://i.ytimg.com/vi/9eEGYD8XB4A/frame0.jpg,11M views,9eEGYD8XB4A,
M3NlGLf6unI,Pops did NOT hold back 😭 #Shorts,https://i.ytimg.com/vi/M3NlGLf6unI/frame0.jpg,6.3M views,M3NlGLf6unI,
pqTf04qwTzc,how’s this? 😭 head over to my ig for more! #Shorts,https://i.ytimg.com/vi/pqTf04qwTzc/frame0.jpg,7.6M views,pqTf04qwTzc,
DrBEWMLIPYw,convinced my dad to do this w/ me 🤣 #Shorts,https://i.ytimg.com/vi/DrBEWMLIPYw/frame0.jpg,5.3M views,DrBEWMLIPYw,
