post_id,post_url,post_text,post_time,profile_name,profile_url,reaction_count
9ytiyD_QA2s,https://www.youtube.com/watch?v=9ytiyD_QA2s,magic,,Medasin,https://www.youtube.com/channel/UCROYT8xXAjDM25hjSNMny2Q,"5,285,512 views"
7TtV-f_m6Qg,https://www.youtube.com/watch?v=7TtV-f_m6Qg,"VINCE STAPLES - ""MAGIC"" FEAT. MUSTARD (Visualizer)",3 years ago,Vince Staples,https://www.youtube.com/channel/UCDDx4lwzZk5uZBwTunBI2CA,"4,889,852 views"
3P9FDHaCDT8,https://www.youtube.com/watch?v=3P9FDHaCDT8,⚔️FINAL FANTASY PRERELEASE TODAY⚔️NEW STANDARD⚔️,,CROKEYZ,https://www.youtube.com/@crokeyz,
67C4xkulO6k,https://www.youtube.com/watch?v=67C4xkulO6k,10 Kids With MAGIC POWERS on Britain's & America's Got Talent!,2 months ago,Got Talent Global,https://www.youtube.com/@gottalentglobal,"3,029,122 views"
ao-FXd5iTI4,https://www.youtube.com/watch?v=ao-FXd5iTI4,WOW MAGIC - 3 Hours Of AMAZING!,9 months ago,Top 10 Talent,https://www.youtube.com/@top10talent,"338,091 views"
lFAyVVbc-OI,https://www.youtube.com/watch?v=lFAyVVbc-OI,"Best Magic Trick Wins $1,000!",9 days ago,Stay Wild,https://www.youtube.com/@StayWild-,"11,470,088 views"
rV76gkaFF_E,https://www.youtube.com/watch?v=rV76gkaFF_E,This Magic Trick Explained 😯 #shorts,2 years ago,Oscar Owen Magic,https://www.youtube.com/@oscar,"11,831,693 views"
eGewFYQhJEQ,https://www.youtube.com/watch?v=eGewFYQhJEQ,Level 1 to 100 Magic Tricks Anyone Can Do,1 year ago,Hafu Go,https://www.youtube.com/@hafu,"13,373,237 views"
rQY1Q3vZ0l8,https://www.youtube.com/watch?v=rQY1Q3vZ0l8,"Orlando Magic unveil new rebrand, pinstripe jerseys",18 hours ago,FOX 35 Orlando,https://www.youtube.com/@fox35,535 views
uua-9WFghbc,https://www.youtube.com/watch?v=uua-9WFghbc,Eden Choi's IMPOSSIBLE magic will have you questioning EVERYTHING! | Auditions | BGT 2025,2 months ago,Britain's Got Talent,https://www.youtube.com/@BGT,"3,322,782 views"
PIh2xe4jnpk,https://www.youtube.com/watch?v=PIh2xe4jnpk,MAGIC! - Rude (Official Video),11 years ago,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"2,571,864,797 views"
1nbEyaIDYVY,https://www.youtube.com/watch?v=1nbEyaIDYVY,MIND BLOWING Magic on America's Got Talent!,4 months ago,Got Talent Global,https://www.youtube.com/@gottalentglobal,"710,724 views"
6kv-Cz07Fek,https://www.youtube.com/watch?v=6kv-Cz07Fek,30 SECOND MAGIC TUTORIAL!!,2 years ago,SeanDoesMagic,https://www.youtube.com/@SeanDoesMagic,"1,244,233 views"
65PmIz6NyT0,https://www.youtube.com/watch?v=65PmIz6NyT0,rubber band magic shorts 🪄😨 || Tutorial 💯✅ | #shorts #dekho #rubber,2 years ago,Mr.dhyanmagic,https://www.youtube.com/@Mr.dhyanmagic,"19,591,173 views"
tt4cR9szMS8,https://www.youtube.com/watch?v=tt4cR9szMS8,America - You Can Do Magic,5 years ago,America,https://www.youtube.com/channel/UCE-I7YO3WHKGpqMTWWHDWSg,"60,403,431 views"
Uzk7v_8LpYQ,https://www.youtube.com/watch?v=Uzk7v_8LpYQ,Magic Auditions That You Have To See To Believe!,1 year ago,Magician's Got Talent,https://www.youtube.com/@MagiciansGotTalent,"2,523,211 views"
3k6P30F_Fuc,https://www.youtube.com/watch?v=3k6P30F_Fuc,Approve this magic!,2 years ago,Dan Rhodes,https://www.youtube.com/@danrhodes,"104,793,957 views"
A4mFpWHsWbw,https://www.youtube.com/watch?v=A4mFpWHsWbw,Testing $1 Magic Tricks,1 year ago,Kyle Krueger,https://www.youtube.com/@KyleKrueger,"76,334,507 views"
6hCYlR2S7Po,https://www.youtube.com/watch?v=6hCYlR2S7Po,This guy has insane magic tricks 🥶😳 #shorts #magic #trending #viralvideo,2 months ago,MediaOcity,https://www.youtube.com/@MediaOcityYT,"1,655,711 views"
